r,epsilon,mean_index,std_index,trials_done,time
0.1000,0.015849,0.0000,0.0000,40,19:16
0.1000,0.021695,0.0000,0.0000,40,19:28
0.1000,0.029698,0.0000,0.0000,40,19:39
0.1000,0.040653,0.0000,0.0000,40,19:51
0.1000,0.055649,0.0000,0.0000,40,20:02
0.1000,0.076176,0.0000,0.0000,40,20:14
0.1000,0.104275,0.0000,0.0000,40,20:26
0.1000,0.142740,0.0000,0.0000,40,20:37
0.1000,0.195393,0.0000,0.0000,40,20:48
0.1000,0.267469,0.0000,0.0000,40,20:59
0.1000,0.366131,-51.4250,7.1760,40,21:15
0.1000,0.501187,-46.0750,5.8796,40,21:41
0.1562,0.015849,0.0000,0.0000,40,21:51
0.1562,0.021695,0.0000,0.0000,40,22:02
0.1562,0.029698,0.0000,0.0000,40,22:13
0.1562,0.040653,0.0000,0.0000,40,22:24
0.1562,0.055649,0.0000,0.0000,40,22:34
0.1562,0.076176,0.0000,0.0000,40,22:45
0.1562,0.104275,0.0000,0.0000,40,22:56
0.1562,0.142740,0.0000,0.0000,40,23:07
0.1562,0.195393,0.0000,0.0000,40,23:18
0.1562,0.267469,0.0000,0.0000,40,23:29
0.1562,0.366131,-49.5750,9.7900,40,23:49
0.1562,0.501187,-45.0500,6.0867,40,00:26
0.2125,0.015849,0.0000,0.0000,40,00:37
0.2125,0.021695,0.0000,0.0000,40,00:48
0.2125,0.029698,0.0000,0.0000,40,00:59
0.2125,0.040653,0.0000,0.0000,40,01:10
0.2125,0.055649,0.0000,0.0000,40,01:20
0.2125,0.076176,0.0000,0.0000,40,01:31
0.2125,0.104275,0.0000,0.0000,40,01:42
0.2125,0.142740,0.0000,0.0000,40,01:53
0.2125,0.195393,0.0000,0.0000,40,02:04
0.2125,0.267469,0.0000,0.0000,40,02:15
0.2125,0.366131,-51.6750,7.3328,40,02:35
0.2125,0.501187,-45.4250,4.2420,40,03:14
0.2688,0.015849,0.0000,0.0000,40,03:25
0.2688,0.021695,0.0000,0.0000,40,03:36
0.2688,0.029698,0.0000,0.0000,40,03:47
0.2688,0.040653,0.0000,0.0000,40,03:58
0.2688,0.055649,0.0000,0.0000,40,04:08
0.2688,0.076176,0.0000,0.0000,40,04:19
0.2688,0.104275,0.0000,0.0000,40,04:30
0.2688,0.142740,0.0000,0.0000,40,04:41
0.2688,0.195393,0.0000,0.0000,40,04:52
0.2688,0.267469,0.0000,0.0000,40,05:03
0.2688,0.366131,-51.3250,10.8245,40,05:21
0.2688,0.501187,-45.8500,3.4536,40,06:16
0.3250,0.015849,0.0000,0.0000,40,06:28
0.3250,0.021695,0.0000,0.0000,40,06:39
0.3250,0.029698,0.0000,0.0000,40,06:51
0.3250,0.040653,0.0000,0.0000,40,07:02
0.3250,0.055649,0.0000,0.0000,40,07:13
0.3250,0.076176,0.0000,0.0000,40,07:24
0.3250,0.104275,0.0000,0.0000,40,07:36
0.3250,0.142740,0.0000,0.0000,40,07:43
0.3250,0.195393,0.0000,0.0000,40,07:53
0.3250,0.267469,0.0000,0.0000,40,08:02
0.3250,0.366131,-50.9250,9.2070,40,08:21
0.3250,0.501187,-43.7250,8.7206,40,09:16
0.3813,0.015849,0.0000,0.0000,40,09:25
0.3813,0.021695,0.0000,0.0000,40,09:34
0.3813,0.029698,0.0000,0.0000,40,09:43
0.3813,0.040653,0.0000,0.0000,40,09:51
0.3813,0.055649,0.0000,0.0000,40,10:00
0.3813,0.076176,0.0000,0.0000,40,10:09
0.3813,0.104275,0.0000,0.0000,40,10:18
0.3813,0.142740,0.0000,0.0000,40,10:28
0.3813,0.195393,0.0000,0.0000,40,10:37
0.3813,0.267469,0.0000,0.0000,40,10:46
0.3813,0.366131,-49.9000,10.9927,40,11:03
0.3813,0.501187,-44.6000,4.9285,40,11:41
0.4375,0.015849,0.0000,0.0000,40,11:51
0.4375,0.021695,0.0000,0.0000,40,12:00
0.4375,0.029698,0.0000,0.0000,40,12:09
0.4375,0.040653,0.0000,0.0000,40,12:18
0.4375,0.055649,0.0000,0.0000,40,12:27
0.4375,0.076176,0.0000,0.0000,40,12:36
0.4375,0.104275,0.0000,0.0000,40,12:45
0.4375,0.142740,0.0000,0.0000,40,12:54
0.4375,0.195393,0.0000,0.0000,40,13:03
0.4375,0.267469,0.0000,0.0000,40,13:12
0.4375,0.366131,-50.1750,10.4472,40,13:29
0.4375,0.501187,-45.2750,5.4954,40,14:10
0.4938,0.015849,0.0000,0.0000,40,14:19
0.4938,0.021695,0.0000,0.0000,40,14:28
0.4938,0.029698,0.0000,0.0000,40,14:36
0.4938,0.040653,0.0000,0.0000,40,14:45
0.4938,0.055649,0.0000,0.0000,40,14:55
0.4938,0.076176,0.0000,0.0000,40,15:06
0.4938,0.104275,0.0000,0.0000,40,15:15
0.4938,0.142740,0.0000,0.0000,40,15:22
0.4938,0.195393,0.0000,0.0000,40,15:30
0.4938,0.267469,0.0000,0.0000,40,15:39
0.4938,0.366131,-50.0500,10.8096,40,15:57
0.4938,0.501187,-44.4000,4.8621,40,16:25
0.5500,0.015849,0.0000,0.0000,40,16:34
0.5500,0.021695,0.0000,0.0000,40,16:41
0.5500,0.029698,0.0000,0.0000,40,16:49
0.5500,0.040653,0.0000,0.0000,40,16:58
0.5500,0.055649,0.0000,0.0000,40,17:06
0.5500,0.076176,0.0000,0.0000,40,17:15
0.5500,0.104275,0.0000,0.0000,40,17:24
0.5500,0.142740,0.0000,0.0000,40,17:33
0.5500,0.195393,0.0000,0.0000,40,17:42
0.5500,0.267469,0.0000,0.0000,40,17:51
0.5500,0.366131,-49.7750,10.2506,40,18:12
0.5500,0.501187,-46.2250,4.9269,40,18:40
